ISO,The_Position_of_Negative_Morphemes_in_SOV_Languages
aau,4.0
ayc,3.0
wed,2.0
aro,5.0
lez,0.0
mrg,0.0
gvf,0.0
eve,5.0
abt,3.0
kgj,6.0
kac,2.0
mtg,1.0
imi,5.0
siw,8.0
cku,0.0
sce,2.0
mlq,11.0
aey,7.0
yaq,11.0
khe,5.0
myp,0.0
auc,0.0
woi,7.0
mrz,2.0
som,1.0
aom,9.0
snk,11.0
lvk,3.0
mls,0.0
ctd,13.0
nmm,10.0
njo,7.0
tml,4.0
rao,0.0
shp,0.0
njb,0.0
ywt,2.0
ssn,5.0
pan,1.0
okv,3.0
raw,1.0
loy,6.0
tna,7.0
urd,1.0
tun,0.0
wim,2.0
ktd,3.0
mnc,0.0
ahk,1.0
bfu,2.0
xns,2.0
mnr,12.0
scl,1.0
tbo,2.0
ahg,0.0
mso,5.0
shb,4.0
emp,8.0
tmu,13.0
ygr,6.0
tbg,12.0
klq,0.0
ghs,7.0
dmk,14.0
njh,6.0
mbc,3.0
yaa,0.0
bam,11.0
mcd,0.0
knc,0.0
mxx,7.0
kff,0.0
tcb,5.0
lkt,4.0
mnz,2.0
adn,7.0
nav,3.0
diq,6.0
mek,10.0
ulk,2.0
was,0.0
ram,4.0
kms,4.0
huz,0.0
zag,0.0
cui,5.0
sst,0.0
mym,19.0
hop,1.0
ras,6.0
rma,3.0
tel,0.0
cup,3.0
mhu,0.0
mfr,2.0
chl,1.0
hmr,13.0
mni,8.0
wyb,16.0
udm,4.0
niy,3.0
tir,5.0
ynd,12.0
ekg,3.0
ntj,0.0
dsh,5.0
ain,1.0
cdm,0.0
uig,0.0
cap,12.0
abk,3.0
mns,1.0
yee,10.0
kpy,5.0
yux,6.0
rwo,2.0
cbu,0.0
evn,5.0
nyi,1.0
tue,0.0
wnu,1.0
bzd,2.0
nce,3.0
opm,1.0
qvi,3.0
mpt,0.0
kig,4.0
kwi,5.0
kan,0.0
krc,3.0
agb,22.0
aqc,0.0
xsu,4.0
new,6.0
wdj,2.0
lif,5.0
sah,0.0
kwo,7.0
ctm,0.0
nsz,8.0
sip,13.0
sad,0.0
usa,6.0
thf,6.0
bll,7.0
drd,6.0
mgf,2.0
kvg,0.0
wsk,1.0
tdh,5.0
zmr,7.0
abz,4.0
pao,12.0
wrb,12.0
txu,4.0
bcq,0.0
brx,3.0
set,6.0
tnc,0.0
kgy,10.0
apy,3.0
dih,4.0
mva,1.0
dau,1.0
zmc,12.0
dbl,14.0
wao,0.0
yrb,0.0
bxm,0.0
dnj,2.0
lmn,4.0
car,0.0
agg,0.0
suq,3.0
kbx,0.0
nab,0.0
oon,4.0
sbf,4.0
mbq,5.0
pwg,1.0
bfd,5.0
csy,13.0
djm,0.0
zrs,0.0
mnk,11.0
xas,2.0
wbl,1.0
ket,1.0
men,2.0
alc,13.0
azb,0.0
can,5.0
mjw,0.0
muz,20.0
bej,6.0
mgu,1.0
duj,12.0
aer,0.0
prn,3.0
pes,6.0
bqp,4.0
tta,5.0
gah,0.0
gdo,8.0
bbl,1.0
adi,0.0
grj,15.0
tar,2.0
kld,12.0
kgq,0.0
tfr,4.0
khg,6.0
cho,0.0
mhx,1.0
zml,2.0
ude,1.0
udi,6.0
bod,6.0
mjg,1.0
mhq,5.0
chb,0.0
hmt,6.0
baw,15.0
nas,3.0
gvs,1.0
aij,1.0
bvr,2.0
pwu,8.0
snn,8.0
rab,5.0
apt,0.0
wme,6.0
mev,11.0
kky,1.0
arr,4.0
xal,3.0
kee,9.0
nmf,6.0
rgr,12.0
oma,0.0
dhi,6.0
mch,0.0
mpq,0.0
rou,7.0
xra,0.0
iwm,4.0
trp,0.0
bia,2.0
ure,9.0
tig,6.0
gym,2.0
der,0.0
awb,1.0
mrh,13.0
woa,5.0
kqi,0.0
aph,0.0
sbu,6.0
geb,4.0
gup,9.0
bak,8.0
nio,1.0
tvu,11.0
tac,2.0
ava,4.0
mpb,9.0
kfk,1.0
nus,18.0
dyy,2.0
tpj,0.0
gvn,2.0
bho,1.0
oaa,10.0
mal,0.0
kue,0.0
klu,15.0
kbd,0.0
khd,2.0
irk,0.0
noa,8.0
bgr,4.0
hch,6.0
pom,5.0
klr,7.0
sbe,11.0
xnz,0.0
aly,0.0
bsk,6.0
kio,5.0
kpw,0.0
twf,3.0
mwf,1.0
kza,9.0
mik,0.0
bfw,10.0
par,7.0
yrk,1.0
oym,5.0
amn,5.0
lrg,9.0
chp,4.0
sja,0.0
jaq,5.0
nid,8.0
tuo,8.0
kxv,0.0
eip,3.0
gvo,16.0
spp,7.0
tsj,7.0
adx,10.0
mar,4.0
kvn,0.0
kfy,2.0
jup,0.0
sif,4.0
kmo,7.0
tya,1.0
nsm,8.0
bee,10.0
grt,0.0
yii,1.0
imn,9.0
nnm,6.0
mkz,1.0
cbi,0.0
duu,10.0
niv,7.0
xsr,6.0
gaj,1.0
kaa,0.0
nrz,2.0
tma,0.0
byw,7.0
wax,10.0
dta,2.0
dgl,0.0
gbr,5.0
nrb,1.0
hni,9.0
khk,0.0
prx,0.0
waq,1.0
amh,5.0
djj,16.0
ckt,9.0
qvh,5.0
wba,8.0
bft,3.0
nju,9.0
clk,8.0
uby,3.0
yuf,7.0
kle,3.0
dis,8.0
bvz,4.0
kxa,4.0
snc,1.0
led,3.0
dus,3.0
yon,4.0
szp,7.0
jel,2.0
bio,8.0
klb,7.0
bqc,7.0
eme,5.0
tae,7.0
sll,0.0
tpy,3.0
peb,0.0
nnk,4.0
cid,7.0
ksi,4.0
njz,8.0
pst,6.0
dgz,1.0
jya,10.0
kat,1.0
mjd,8.0
kgg,0.0
ses,11.0
pid,8.0
yuc,2.0
sat,1.0
wic,3.0
xac,0.0
cof,0.0
yuj,3.0
ori,0.0
nmu,0.0
npa,7.0
tpq,2.0
arh,0.0
tlb,0.0
meu,3.0
klj,0.0
naq,4.0
mhj,2.0
tqw,3.0
snp,0.0
wal,0.0
vai,11.0
chx,10.0
rkb,2.0
dip,17.0
sid,1.0
mok,2.0
skf,4.0
osa,4.0
com,3.0
hid,0.0
unr,1.0
peh,2.0
huu,0.0
gru,6.0
svs,2.0
ywq,2.0
mdw,21.0
hto,0.0
sei,6.0
kun,0.0
swv,2.0
dni,4.0
opt,2.0
guj,1.0
lis,1.0
mrc,5.0
zay,0.0
wan,4.0
jiv,0.0
srs,2.0
xcw,0.0
vay,1.0
dim,0.0
dju,3.0
tbd,3.0
viv,1.0
thd,1.0
irn,0.0
tkm,2.0
cnh,4.0
oss,2.0
kpx,0.0
kca,1.0
kyz,7.0
chv,0.0
tmd,8.0
lae,6.0
pwa,3.0
bco,3.0
miq,0.0
ybi,10.0
amp,1.0
wms,0.0
tli,1.0
kmn,6.0
naf,1.0
cbr,0.0
wib,9.0
ijc,3.0
